lig_name,LF Rank Score,LF dG,LF VSscore
LON-WEI-4d77710c-67	LON-WEI-4d77710c-67			0.31906678	28.92225742	71.2034_D,-10.516,-8.175,-8.898
LON-WEI-4d77710c-69	LON-WEI-4d77710c-69			0.218571601	55.86794472	76.349_D,-10.937,-7.924,-9.900
LON-WEI-4d77710c-70	LON-WEI-4d77710c-70			0.36317907	33.19062805	68.9520_D,-8.783,-6.938,-7.582
LON-WEI-4d77710c-71	LON-WEI-4d77710c-71			1.4369572959999999	9.629392862_D,-11.157,-7.552,-8.516
LON-WEI-4d77710c-73	LON-WEI-4d77710c-73			0.255405292	78.96272469	97.735_D,-12.012,-8.268,-9.266
LON-WEI-4d77710c-74	LON-WEI-4d77710c-74			0.6349187270000001	78.9691124_D,-9.806,-7.095,-8.382
LON-WEI-4d77710c-75	LON-WEI-4d77710c-75			0.658113873	92.56868744	94.905_D,-11.363,-6.888,-8.378
LON-WEI-4d77710c-76	LON-WEI-4d77710c-76			0.152483085	47.13737869	96.656_D,-12.305,-8.680,-9.551
PET-UNK-7374c256-2	PET-UNK-7374c256-2			90.75757269			15.93609665	4.7976_D,-6.507,-7.705,-9.181
CHO-MSK-6e55470f-5	CHO-MSK-6e55470f-5			24.25843731			23.92453212	4.6211_D,-8.264,-9.832,-11.203
CHO-MSK-6e55470f-7	CHO-MSK-6e55470f-7		100.0	13.33239221			20.64639979	4_D,-7.506,-9.863,-11.242
CHO-MSK-6e55470f-14	CHO-MSK-6e55470f-14			7.394263689			99.5					0.0	Fal_D,-13.202,-8.834,-10.875
CHO-MSK-6e55470f-17	CHO-MSK-6e55470f-17			99.0			99.5						False	False	3_D,-6.548,-8.784,-10.259
CHO-MSK-6e55470f-19	CHO-MSK-6e55470f-19		41.78	48.77088343			99.5					0._D,-8.085,-9.812,-11.127
CHO-MSK-6e55470f-21	CHO-MSK-6e55470f-21			99.0									False	False	3-ami_D,-15.201,-10.016,-11.701
CHO-MSK-6e55470f-22	CHO-MSK-6e55470f-22		67.345	13.78813336			62.7319770_D,-8.316,-9.843,-11.243
CHO-MSK-6e55470f-24	CHO-MSK-6e55470f-24			99.0			99.5					52.67862991	Fa_D,-7.618,-9.926,-11.265
ALP-POS-87c86d55-1	ALP-POS-87c86d55-1			14.29697829			4.851678979	5.3141_D,-11.768,-7.889,-9.069
ALP-POS-87c86d55-2	ALP-POS-87c86d55-2			46.07741426			24.96026787	4.6027_D,-11.969,-8.743,-9.745
MAT-POS-fa06b69f-6	MAT-POS-fa06b69f-6		91.695	0.7061785209999999			0.695_D,-10.313,-8.089,-9.399
ALP-POS-a3de0cb1-1	ALP-POS-a3de0cb1-1			3.7268914019999997			3.588988281_D,-6.867,-7.303,-9.104
ALP-POS-a3de0cb1-3	ALP-POS-a3de0cb1-3			99.0			99.5					45.6428804	False_D,-13.017,-8.763,-10.069
ALP-POS-a3de0cb1-6	ALP-POS-a3de0cb1-6			99.0			99.5						False	False	3-a_D,-6.827,-7.414,-9.105
ALP-POS-a3de0cb1-7	ALP-POS-a3de0cb1-7			99.0			99.5					0.0	False	False_D,-11.692,-8.270,-9.359
ALP-POS-a3de0cb1-10	ALP-POS-a3de0cb1-10			99.0			99.5					72.25819508	Fa_D,-11.572,-8.121,-9.242
ALP-POS-a3de0cb1-12	ALP-POS-a3de0cb1-12			99.0			99.5						False	False	3_D,-7.127,-8.429,-9.905
ALP-POS-a3de0cb1-13	ALP-POS-a3de0cb1-13			81.82420063			50.92048383	4.29_D,-7.042,-8.330,-10.136
ALP-POS-a3de0cb1-14	ALP-POS-a3de0cb1-14			99.0			99.5						False	False	3_D,-7.213,-7.760,-9.546
ALP-POS-a3de0cb1-15	ALP-POS-a3de0cb1-15			99.0			99.5					59.1451194	Fal_D,-6.649,-6.998,-8.803
ALP-POS-6747fa38-1	ALP-POS-6747fa38-1		42.445	72.54815242			71.68809589_D,-6.012,-6.788,-8.057
MAT-POS-1e5f28a7-1	MAT-POS-1e5f28a7-1			17.09139694			23.71229503	4.6250_D,-6.548,-7.466,-8.398
MAT-POS-f7918075-2	MAT-POS-f7918075-2		76.965	0.509058524			0.7641388379_D,-7.964,-7.932,-9.266
MAT-POS-f7918075-5	MAT-POS-f7918075-5			2.130500809			4.273263577	5.3692_D,-7.660,-7.959,-9.059
MAT-POS-f7918075-8	MAT-POS-f7918075-8		79.45	7.966933264			13.26087854	4_D,-7.263,-7.942,-8.956
ALP-POS-6d04362c-1	ALP-POS-6d04362c-1			1.565015285			5.053265339	5.2964_D,-6.844,-7.262,-9.110
ALP-POS-6d04362c-2	ALP-POS-6d04362c-2			0.391491459			0.496758543	6.3038_D,-5.827,-7.213,-8.811
ALP-POS-6d04362c-3	ALP-POS-6d04362c-3			6.287586676			6.5613622739999995_D,-11.801,-8.146,-9.583
ALP-POS-6d04362c-4	ALP-POS-6d04362c-4			21.31744447			11.62287627	4.9346_D,-12.633,-8.125,-9.704
ALP-POS-6d04362c-5	ALP-POS-6d04362c-5			18.16706316			19.76105164	4.7041_D,-6.693,-7.007,-9.242
MAT-POS-f42f3716-1	MAT-POS-f42f3716-1			2.831999812			8.438846404	5.0737_D,-13.341,-9.955,-11.345
MAT-POS-f42f3716-2	MAT-POS-f42f3716-2			19.54797534			99.5					260.14050_D,-7.664,-10.443,-11.508
MAT-POS-f42f3716-3	MAT-POS-f42f3716-3			11.98802614			9.619004454	5.0168_D,-6.721,-8.637,-10.171
MAT-POS-f42f3716-4	MAT-POS-f42f3716-4			26.00300859			31.56253413	4.5008_D,-11.512,-8.979,-10.270
MAT-POS-f42f3716-5	MAT-POS-f42f3716-5			15.26821373			8.952750994	5.0480_D,-7.580,-9.762,-10.940
MAT-POS-f42f3716-6	MAT-POS-f42f3716-6			56.18048204			31.91952008	4.4959_D,-12.050,-8.960,-10.418
MAT-POS-f42f3716-7	MAT-POS-f42f3716-7			16.00441719			19.26789884	4.7151_D,-13.035,-8.291,-10.079
MAT-POS-f42f3716-8	MAT-POS-f42f3716-8			15.32245213			22.76834299	4.6426_D,-12.212,-9.337,-10.780
MAT-POS-f42f3716-9	MAT-POS-f42f3716-9			99.0			99.5						False	False	3-a_D,-7.241,-9.568,-10.754
MAT-POS-044491d2-1	MAT-POS-044491d2-1		61.545	38.85592732			19.702499800_D,-14.085,-9.840,-11.501
MAT-POS-044491d2-2	MAT-POS-044491d2-2			25.70531801			23.03177147	4.6376_D,-12.436,-8.371,-11.044
MAT-POS-044491d2-3	MAT-POS-044491d2-3			19.72462187			25.31642314	4.5965_D,-11.078,-8.390,-10.107
MAT-POS-044491d2-6	MAT-POS-044491d2-6			45.4843496			14.72707551	4.83188_D,-11.865,-9.418,-11.000
MAT-POS-044491d2-7	MAT-POS-044491d2-7			32.8780025			36.53174121	4.43732_D,-7.010,-9.198,-10.363
AAR-RCN-9f0de475-1	AAR-RCN-9f0de475-1			99.0			99.5						False	False_D,-3.747,-4.147,-4.777
AAR-RCN-390aeb1f-1	AAR-RCN-390aeb1f-1			99.0			99.5						False	False_D,-4.600,-4.714,-5.423
ALP-POS-f13221e1-2	ALP-POS-f13221e1-2			6.01626415			11.17246911	4.95185_D,-7.048,-7.399,-8.771
ALP-POS-f13221e1-3	ALP-POS-f13221e1-3			19.32303293			20.79342111	4.6820_D,-6.637,-7.249,-8.383
ALP-POS-f13221e1-4	ALP-POS-f13221e1-4			99.0			99.5					152.227590699999_D,-6.399,-7.485,-8.437
MAT-POS-4211dce8-1	MAT-POS-4211dce8-1			99.0			99.5					0.0	False	False_D,-7.305,-7.095,-8.618
MAT-POS-e10a589d-1	MAT-POS-e10a589d-1			99.0			0.32670258	6.485847436_D,-11.441,-8.267,-9.004
MAT-POS-e10a589d-4	MAT-POS-e10a589d-4			2.8690659060000003			15.73089666_D,-5.306,-6.733,-7.504
MAT-POS-1e0c1c67-1	MAT-POS-1e0c1c67-1			99.0			2.4006024580000003	5.6196_D,-8.672,-5.393,-7.503
AAR-RCN-dbf5c5ee-1	AAR-RCN-dbf5c5ee-1			99.0			99.5						False	False_D,-4.800,-6.601,-7.329
AAR-RCN-845f9611-1	AAR-RCN-845f9611-1			99.0			99.5						False	False_D,-5.460,-6.632,-7.414
AAR-RCN-78cf61f7-1	AAR-RCN-78cf61f7-1			99.0			99.5						False	False_D,-5.054,-6.357,-7.071
AAR-RCN-67438d21-1	AAR-RCN-67438d21-1			99.0			99.5						False	False_D,-4.287,-5.717,-6.563
AAR-RCN-37d0aa00-1	AAR-RCN-37d0aa00-1			99.0			99.5						False	False_D,-5.027,-5.005,-5.631
AAR-RCN-934be69e-1	AAR-RCN-934be69e-1			99.0			99.5						False	False_D,-4.031,-4.276,-4.771
AAR-RCN-ec065b93-1	AAR-RCN-ec065b93-1			99.0			99.5						False	False_D,-5.822,-3.656,-4.756
AAR-RCN-8752a6eb-1	AAR-RCN-8752a6eb-1			99.0			99.5						False	False_D,-3.855,-4.051,-4.665
AAR-RCN-28a8122f-1	AAR-RCN-28a8122f-1			99.0			99.5						False	False_D,-4.985,-5.540,-6.503
AAR-RCN-98de6bc7-1	AAR-RCN-98de6bc7-1			99.0			99.5						False	False_D,-3.853,-4.846,-5.113
MAT-POS-bb423b95-1	MAT-POS-bb423b95-1			3.7089309010000004			7.941658225_D,-7.513,-8.042,-9.108
MAT-POS-bb423b95-2	MAT-POS-bb423b95-2			6.2192530470000005			7.018752647_D,-7.705,-7.936,-9.029
MAT-POS-bb423b95-5	MAT-POS-bb423b95-5			26.3771424			19.50898769	4.70976_D,-5.946,-7.243,-8.193
MAT-POS-bb423b95-7	MAT-POS-bb423b95-7			48.19354528			34.36824843	4.4638_D,-7.277,-7.745,-8.962
MAT-POS-bb423b95-9	MAT-POS-bb423b95-9			99.0			99.5						False	False	3-a_D,-6.513,-7.779,-8.626
MAT-POS-6da3605a-1	MAT-POS-6da3605a-1			99.0			99.5					0.0	False	False_D,-5.613,-6.825,-7.869
MAT-POS-6da3605a-2	MAT-POS-6da3605a-2			99.0			65.30536088	4.185051166_D,-8.894,-6.688,-7.162
MAT-POS-6344a35d-1	MAT-POS-6344a35d-1			1.00390314			3.783685897	5.42208_D,-8.274,-9.126,-10.704
VLA-UCB-1dbca3b4-1	VLA-UCB-1dbca3b4-1			99.0			99.5					22.49648484	Fals_D,-6.767,-6.663,-10.401
VLA-UCB-1dbca3b4-15	VLA-UCB-1dbca3b4-15			0.42395962200000004			0.359483_D,-7.326,-8.000,-9.143
MAT-POS-9ff17035-3	MAT-POS-9ff17035-3			1.4755860509999998			1.139392013_D,-7.493,-8.004,-9.501
NIR-WEI-f9286bb6-2	NIR-WEI-f9286bb6-2			99.0			99.5						True	False	Ugi_D,-5.013,-7.392,-8.442
NIR-WEI-f9286bb6-3	NIR-WEI-f9286bb6-3			99.0			99.5						True	False	Ugi_D,-5.078,-7.032,-8.004
NIR-WEI-f9286bb6-4	NIR-WEI-f9286bb6-4			99.0			99.5						True	False	Ugi_D,-5.541,-7.460,-9.020
AAR-RCN-748c104b-1	AAR-RCN-748c104b-1			99.0			99.5						False	False_D,-4.711,-4.600,-5.325
MAT-POS-02ae579f-1	MAT-POS-02ae579f-1			99.0	-6.785928	0.0077025							F_D,-10.918,-5.920,-8.866
MAT-POS-02ae579f-2	MAT-POS-02ae579f-2			44.53518367	0.69515305	2.287651_D,-5.715,-7.962,-8.795
MIC-UNK-08cd9c58-1	MIC-UNK-08cd9c58-1			57.92700964			67.11236021	4.1731_D,-7.428,-7.708,-8.829
MAT-POS-0bc33984-1	MAT-POS-0bc33984-1			99.0			43.71429098	4.359376561_D,-5.903,-8.992,-11.015
MAT-POS-0bc33984-2	MAT-POS-0bc33984-2			99.0			99.5					12.54507529	Fals_D,-5.438,-8.114,-10.930
PET-UNK-8df914d1-4	PET-UNK-8df914d1-4			99.0			93.88392388	4.027408767_D,-6.051,-6.900,-7.678
EDJ-MED-c314995a-1	EDJ-MED-c314995a-1			0.980906794			0.260666995	6.5839_D,-6.978,-8.990,-10.363
EDJ-MED-976da9a6-1	EDJ-MED-976da9a6-1			9.855853852000001			10.07609085_D,-7.259,-8.248,-9.194
EDJ-MED-06d94977-1	EDJ-MED-06d94977-1			99.0			99.5					145.083229199999_D,-4.991,-5.802,-7.359
EDJ-MED-06d94977-2	EDJ-MED-06d94977-2			99.0			99.5					149.1940157	Fals_D,-5.034,-6.354,-7.262
PET-UNK-c9c1e0d8-3	PET-UNK-c9c1e0d8-3			0.731634495			1.1415013520000001_D,-7.652,-8.105,-9.354
PET-UNK-c9c1e0d8-4	PET-UNK-c9c1e0d8-4			0.8657082190000001			1.268102447_D,-7.988,-8.007,-9.445
MAT-POS-3b92565d-1	MAT-POS-3b92565d-1		79.31	1.346843524			1.20235588599_D,-7.278,-7.732,-9.016
MAT-POS-3b92565d-6	MAT-POS-3b92565d-6			99.0			83.28102822	4.079453922_D,-7.374,-8.991,-15.104
RAL-THA-6b94ceba-1	RAL-THA-6b94ceba-1			99.0			99.5					40.40905602	Fals_D,-7.208,-8.572,-9.942
RAL-THA-6b94ceba-2	RAL-THA-6b94ceba-2			81.01534918			37.03075481	4.4314_D,-7.299,-8.669,-9.805
RAL-THA-6b94ceba-5	RAL-THA-6b94ceba-5			55.52097552			41.33003652	4.3837_D,-6.938,-8.511,-9.697
RAL-THA-6b94ceba-7	RAL-THA-6b94ceba-7			43.89291944			46.30464836	4.3343_D,-6.367,-7.835,-8.892
RAL-THA-6b94ceba-9	RAL-THA-6b94ceba-9			99.0			99.5						False	False	3-a_D,-6.795,-7.815,-9.019
RAL-THA-6b94ceba-12	RAL-THA-6b94ceba-12			32.21140428			16.58620903	4.78_D,-12.252,-9.791,-10.348
RAL-THA-6b94ceba-13	RAL-THA-6b94ceba-13		63.995	13.09205971			14.6132551_D,-12.131,-9.650,-10.461
EDJ-MED-a364e151-1	EDJ-MED-a364e151-1			1.84189969			99.5					251.494292_D,-6.742,-7.957,-8.996
MAT-POS-2492181e-1	MAT-POS-2492181e-1			99.0	-6.468583584	-3.216187477_D,-7.305,-7.971,-9.619
MAT-POS-2492181e-4	MAT-POS-2492181e-4			95.94689192	22.53674066	-1.58253_D,-6.100,-8.238,-9.712
MAT-POS-2492181e-5	MAT-POS-2492181e-5			99.0	14.51544178	8.355697155_D,-10.885,-8.792,-9.391
MAT-POS-2492181e-6	MAT-POS-2492181e-6			98.24419976	-1.8168264630000002_D,-5.543,-8.013,-9.376
MAT-POS-b5746674-34	MAT-POS-b5746674-34			99.0	6.219382286	12.51118183_D,-5.509,-7.333,-9.198
MAT-POS-b5746674-36	MAT-POS-b5746674-36			99.0	-4.830670834	-2.879659116_D,-6.203,-7.428,-8.937
MAT-POS-b5746674-37	MAT-POS-b5746674-37			99.0	2.805111676	0.168264091_D,-7.179,-7.984,-9.593
MAT-POS-b5746674-38	MAT-POS-b5746674-38			99.0	-0.40255594299999997	0.92_D,-6.789,-8.208,-9.704
MAT-POS-b5746674-42	MAT-POS-b5746674-42			99.0	-3.0564428869999998	22.30_D,-6.507,-7.317,-8.692
MAT-POS-b5746674-78	MAT-POS-b5746674-78			68.55148565	20.54952073	7.5612_D,-11.118,-5.911,-11.200
MAT-POS-b5746674-97	MAT-POS-b5746674-97			99.0	-1.077742279	1.916932881_D,-5.613,-7.278,-8.510
MAT-POS-b5746674-98	MAT-POS-b5746674-98			99.0	-2.253461003	1.390841246_D,-6.284,-6.959,-8.613
MAT-POS-b5746674-100	MAT-POS-b5746674-100			99.0	-2.5410010219999997	3.7_D,-6.197,-7.685,-9.423
MAT-POS-b5746674-101	MAT-POS-b5746674-101			99.0	-2.212992549	0.97337588_D,-6.604,-7.241,-9.319
MAT-POS-b5746674-102	MAT-POS-b5746674-102			82.69076111	-4.255591035	-3._D,-4.941,-7.475,-9.401
MAT-POS-b5746674-107	MAT-POS-b5746674-107			99.0	-4.2683705089999995	3.4_D,-5.702,-6.893,-8.818
MAT-POS-b5746674-108	MAT-POS-b5746674-108			92.33480870000001	-3.0053248_D,-6.062,-7.781,-9.324
MAT-POS-b5746674-109	MAT-POS-b5746674-109			99.0	-1.084132075	-1.8146965_D,-5.927,-8.664,-9.845
MAT-POS-ea426761-9	MAT-POS-ea426761-9		77.585	5.071172565			1.170083678_D,-10.639,-6.626,-8.205
MAT-POS-ea426761-10	MAT-POS-ea426761-10			0.200179269	8.773162842	32.466_D,-11.156,-8.760,-9.757
MAT-POS-ea426761-13	MAT-POS-ea426761-13			0.36283241	68.56443024	90.4323_D,-6.903,-6.291,-9.974
MAT-POS-ea426761-45	MAT-POS-ea426761-45			78.20854338	13.05218315	42.187_D,-8.644,-7.308,-7.934
MAT-POS-ea426761-49	MAT-POS-ea426761-49			99.0			23.05204659	4.637290511_D,-5.999,-4.702,-6.229
MAT-POS-ea426761-52	MAT-POS-ea426761-52			99.0			21.74329319	4.662674678_D,-4.389,-7.043,-7.965
EDJ-MED-50fe53e8-2	EDJ-MED-50fe53e8-2			99.0			99.5					202.3693217	Fals_D,-7.311,-7.530,-8.683
EDJ-MED-50fe53e8-3	EDJ-MED-50fe53e8-3			99.0			99.5					215.345436199999_D,-6.754,-7.089,-8.132
EDJ-MED-00c1612e-1	EDJ-MED-00c1612e-1			0.549993865			0.897800405	6.0468_D,-7.338,-8.039,-9.219
ALP-POS-0c2c77e1-1	ALP-POS-0c2c77e1-1			25.13378126			40.89173636	4.3883_D,-6.841,-7.764,-8.896
ALP-POS-3b848b35-2	ALP-POS-3b848b35-2			0.15725656699999999			0.27373653_D,-7.256,-8.528,-10.070
LON-WEI-2e27a2e5-1	LON-WEI-2e27a2e5-1			0.452567911			2.533155243	5.5963_D,-10.759,-7.321,-9.508
LON-WEI-2e27a2e5-2	LON-WEI-2e27a2e5-2			99.0	-5.553523	-6.337255							F_D,-13.033,-8.539,-11.116
MAT-POS-06036648-5	MAT-POS-06036648-5			10.55967735			5.337463866	5.2726_D,-6.519,-6.463,-8.375
JOH-UNI-591f77bd-1	JOH-UNI-591f77bd-1			99.0	-2.050877	1.772847275_D,-9.703,-8.994,-9.156
EDJ-MED-0e996074-1	EDJ-MED-0e996074-1			99.0	-1.26865595	2.1527435_D,-5.588,-6.237,-7.379
MAT-POS-c0143b99-1	MAT-POS-c0143b99-1			99.0			99.5						True	False	Ugi_D,-10.952,-8.329,-9.582
ALP-POS-05819dc4-1	ALP-POS-05819dc4-1			0.691763483			99.5						False	Fa_D,-5.787,-7.369,-10.945
WIL-UNI-2e73223c-4	WIL-UNI-2e73223c-4			99.0			99.5					29.96854938	Fals_D,-5.111,-7.327,-8.399
ALP-POS-ddb41b15-1	ALP-POS-ddb41b15-1			22.87241265			15.7999881	4.80134_D,-7.357,-8.829,-10.428
ALP-POS-ddb41b15-3	ALP-POS-ddb41b15-3			99.0			57.71277226	4.238728064_D,-6.493,-7.249,-8.912
ALP-POS-ddb41b15-4	ALP-POS-ddb41b15-4			99.0			4.073144448	5.39007018799_D,-6.659,-7.996,-9.729
ALP-POS-ddb41b15-8	ALP-POS-ddb41b15-8			31.35916776			99.5					0.0	False_D,-7.208,-6.656,-8.999
MIC-UNK-fc94cdb5-1	MIC-UNK-fc94cdb5-1			99.0			99.5					14.82588362	Fals_D,-6.479,-6.852,-8.072
MIC-UNK-4c7b8ba7-1	MIC-UNK-4c7b8ba7-1			99.0			99.5					0.0	False	False_D,-5.520,-8.490,-11.240
MIC-UNK-42806bd5-2	MIC-UNK-42806bd5-2			99.0								0.0	False	False	3-am_D,-5.990,-7.750,-8.596
LOR-NOR-30067bb9-2	LOR-NOR-30067bb9-2		83.68817613	17.28760769	-1.098901_D,-6.875,-6.359,-8.071
LOR-NOR-30067bb9-5	LOR-NOR-30067bb9-5		77.00059366	2.14630206	0.3156575_D,-6.114,-6.009,-7.569
LOR-NOR-30067bb9-6	LOR-NOR-30067bb9-6		72.18221863	12.40770499	0.5664134_D,-6.806,-7.400,-8.320
LOR-NOR-30067bb9-7	LOR-NOR-30067bb9-7		99.27083947	1.230596874	-2.837967_D,-6.875,-7.772,-8.874
LOR-NOR-30067bb9-8	LOR-NOR-30067bb9-8		53.6831044	42.36330509	-4.7363370_D,-7.546,-6.952,-8.500
LOR-NOR-30067bb9-10	LOR-NOR-30067bb9-10		72.11364435	14.29048578	-1.6844_D,-10.506,-6.039,-7.696
LOR-NOR-30067bb9-11	LOR-NOR-30067bb9-11		91.18229713	0.017013119	-5.4237_D,-6.619,-7.150,-8.523
LOR-NOR-30067bb9-13	LOR-NOR-30067bb9-13		56.16760415	45.23738403	-6.8589_D,-8.198,-4.758,-6.299
LOR-NOR-30067bb9-15	LOR-NOR-30067bb9-15		61.70451788	42.33241355	-5.7334_D,-5.585,-5.479,-8.994
LOR-NOR-30067bb9-18	LOR-NOR-30067bb9-18		94.05151232	3.794492312	-1.8791_D,-6.352,-6.768,-7.512
JAN-GHE-74b8b0cb-1	JAN-GHE-74b8b0cb-1			99.0			99.5					0.0	False	False_D,-6.463,-8.129,-9.250
MAT-POS-c478e61b-1	MAT-POS-c478e61b-1			99.0			82.11851419	4.085558917_D,-8.452,-9.545,-10.712
MAT-POS-c9973a83-1	MAT-POS-c9973a83-1			43.60280449	24.617285	48.298705_D,-6.466,-7.633,-8.567
COM-UCB-8c7d23dc-1	COM-UCB-8c7d23dc-1			99.0	-6.542807499999999	-3.69242_D,-10.346,-6.633,-7.981
COM-UCB-8c7d23dc-6	COM-UCB-8c7d23dc-6			99.0	-6.2633754999999995	-5.3573_D,-5.760,-6.798,-7.869
COM-UCB-8c7d23dc-7	COM-UCB-8c7d23dc-7			99.0	-3.326542	-2.97047750000000_D,-5.751,-6.204,-7.766
COM-UCB-8c7d23dc-12	COM-UCB-8c7d23dc-12			99.0	-7.3240935	-4.98023399999_D,-6.374,-6.852,-7.856
COM-UCB-8c7d23dc-13	COM-UCB-8c7d23dc-13			99.0	-4.0746519999999995	-3.07_D,-8.778,-5.719,-7.786
COM-UCB-8c7d23dc-15	COM-UCB-8c7d23dc-15			99.0	2.5896470000000003	9.0147_D,-6.708,-6.798,-8.251
COM-UCB-8c7d23dc-16	COM-UCB-8c7d23dc-16			99.0	-8.154911	-5.2087325_D,-5.917,-8.325,-11.880
ALP-POS-3fc1724e-1	ALP-POS-3fc1724e-1			16.5435311			6.3886100820000005_D,-7.115,-8.977,-12.167
WIL-MOD-03b86a88-2	WIL-MOD-03b86a88-2			56.90333708			19.09088324	4.7191_D,-6.670,-8.272,-9.196
WIL-MOD-03b86a88-4	WIL-MOD-03b86a88-4			15.28168034			15.95335731	4.7971_D,-7.045,-8.660,-9.654
WIL-MOD-03b86a88-6	WIL-MOD-03b86a88-6		87.94	14.4718081			11.25659119999_D,-11.725,-9.629,-10.122
JAG-UCB-119787ef-1	JAG-UCB-119787ef-1		-10.44204522	99.0	-7.384094999999_D,-6.316,-7.874,-8.655
MAT-POS-968e8d9c-1	MAT-POS-968e8d9c-1		-19.40521001	99.0	-13.293248	-7.6_D,-5.925,-7.643,-8.489
BRU-THA-a358fbdd-7	BRU-THA-a358fbdd-7			99.0	2.365354	3.561115						49.4_D,-9.224,-5.847,-7.375
JAG-UCB-c61058a9-45	JAG-UCB-c61058a9-45			48.01818367			99.5						False_D,-7.510,-8.126,-11.862
TAT-ENA-80bfd3e5-1	TAT-ENA-80bfd3e5-1			99.0			0.974820505	6.011075344_D,-11.887,-7.922,-9.203
TAT-ENA-80bfd3e5-4	TAT-ENA-80bfd3e5-4		94.7	0.7064888909999999			0.71912_D,-9.187,-5.964,-7.586
TAT-ENA-80bfd3e5-7	TAT-ENA-80bfd3e5-7		97.515	1.522514308			0.745271328_D,-7.540,-7.986,-8.706
TAT-ENA-80bfd3e5-32	TAT-ENA-80bfd3e5-32		82.18	4.15300297			2.817975374_D,-5.514,-6.978,-7.830
TAT-ENA-80bfd3e5-36	TAT-ENA-80bfd3e5-36		61.24	6.956589192999999			3.228_D,-9.622,-7.265,-8.128
LON-WEI-0a73fcb8-7	LON-WEI-0a73fcb8-7		58.93035555	66.35080663	64.546534_D,-11.621,-8.306,-9.304
NAU-LAT-8502cac5-8	NAU-LAT-8502cac5-8			26.84375419	37.58834	74.639425	6_D,-5.720,-7.844,-8.369
ADA-UCB-6c2cb422-1	ADA-UCB-6c2cb422-1		84.91021549	1.0567184859999998	93_D,-7.545,-7.722,-8.980
ADA-UCB-6c2cb422-3	ADA-UCB-6c2cb422-3			99.0	-1.08081085	2.763474						7_D,-6.606,-7.596,-8.684
JAG-UCB-c37fbdcd-2	JAG-UCB-c37fbdcd-2			99.0			99.5					24.5575998000000_D,-7.537,-7.992,-9.518
ERI-UCB-ce40166b-6	ERI-UCB-ce40166b-6			19.36436676			38.37379441	4.4159_D,-6.575,-8.469,-9.789
ERI-UCB-ce40166b-17	ERI-UCB-ce40166b-17			1.180136413			1.103932926	5.95_D,-6.896,-8.456,-10.047
VLA-UCB-00f2c2b3-2	VLA-UCB-00f2c2b3-2			99.0	-1.10744532	0.2476566000000_D,-6.837,-6.831,-7.983
VLA-UCB-00f2c2b3-7	VLA-UCB-00f2c2b3-7			23.60291007			99.5					250.13795_D,-6.984,-7.416,-8.539
LON-WEI-ff7b210a-4	LON-WEI-ff7b210a-4		100.0	0.8260412490000001	96.30587_D,-7.539,-8.564,-9.734
LON-WEI-ff7b210a-5	LON-WEI-ff7b210a-5		100.0	1.039082155	96.92779	98.471_D,-4.652,-6.130,-6.639
LON-WEI-ff7b210a-10	LON-WEI-ff7b210a-10			99.0	-23.584988	-3.5939468			0_D,-9.994,-9.615,-10.248
ALP-POS-d2866bdf-1	ALP-POS-d2866bdf-1		90.28649204	5.368831502000001	84._D,-11.095,-6.753,-8.278
