lig_name,LF Rank Score,LF dG,LF VSscore
MIC-UNK-66895286-1	MIC-UNK-66895286-1			99.0			99.5					54.11266818	Fals_D,-5.696,-6.680,-7.596
MIC-UNK-66895286-3	MIC-UNK-66895286-3			99.0			54.60639129999999	4.26275_D,-5.837,-7.025,-7.946
ROD-LAS-d5538ff9-8	ROD-LAS-d5538ff9-8		68.26154193	15.96942841	8.44098	-_D,-10.653,-7.183,-8.586
JAG-UCB-77729364-1	JAG-UCB-77729364-1			99.0			99.5					0.0	False	False_D,-11.520,-7.857,-8.784
LON-WEI-babf2c61-1	LON-WEI-babf2c61-1		60.60907008	2.112800879	24.173945_D,-13.736,-9.992,-11.735
LON-WEI-babf2c61-2	LON-WEI-babf2c61-2		0.0	99.0	49.015955	78.2	11.618053_D,-11.330,-8.291,-9.941
LON-WEI-babf2c61-3	LON-WEI-babf2c61-3		89.15503525	2.467515204	49.56658_D,-11.054,-8.345,-10.415
LON-WEI-babf2c61-4	LON-WEI-babf2c61-4			26.21126101	16.07151	23.517565_D,-11.907,-8.004,-10.398
LON-WEI-babf2c61-5	LON-WEI-babf2c61-5		82.07640807	4.842507384	50.164584_D,-10.476,-7.337,-9.702
LON-WEI-babf2c61-6	LON-WEI-babf2c61-6		91.59144693	7.720562043999999	38._D,-11.747,-7.744,-10.642
LON-WEI-babf2c61-7	LON-WEI-babf2c61-7		96.53378847	3.0123336089999997	53_D,-10.485,-7.208,-9.678
LON-WEI-babf2c61-8	LON-WEI-babf2c61-8			17.33618415	26.8156	44.94313_D,-10.600,-6.958,-10.055
LON-WEI-babf2c61-9	LON-WEI-babf2c61-9		100.0	6.1169618539999995	50.65903_D,-9.693,-6.726,-9.056
LON-WEI-babf2c61-10	LON-WEI-babf2c61-10		100.0	10.86168757	16.734935	31._D,-10.749,-8.070,-9.649
LON-WEI-babf2c61-11	LON-WEI-babf2c61-11		100.0	4.777123596	15.784125	40._D,-11.158,-9.305,-10.509
LON-WEI-babf2c61-14	LON-WEI-babf2c61-14			10.55140772			99.5						True	F_D,-11.602,-8.556,-10.309
JAG-UCB-1d922829-1	JAG-UCB-1d922829-1			43.51601237			99.5					0.0	False_D,-7.697,-7.263,-9.169
JAG-UCB-1d922829-2	JAG-UCB-1d922829-2			54.59425968			99.5						False	Fa_D,-7.706,-7.268,-9.395
JAG-UCB-1d922829-3	JAG-UCB-1d922829-3			32.24343525			99.5					0.0	False_D,-7.442,-7.675,-9.666
JAG-UCB-1d922829-4	JAG-UCB-1d922829-4			99.0			99.5					27.13689337	Fals_D,-10.221,-7.387,-8.839
JAG-UCB-1d922829-5	JAG-UCB-1d922829-5			99.0			99.5					21.91599715	Fals_D,-10.168,-6.664,-8.566
JAG-UCB-1d922829-6	JAG-UCB-1d922829-6			99.0			99.5					0.0	False	False_D,-9.800,-6.736,-9.698
JAG-UCB-ef2c0e8e-4	JAG-UCB-ef2c0e8e-4			99.0			99.5					34.19730911	Fals_D,-6.676,-7.025,-8.346
ERI-BAS-37e2bb46-1	ERI-BAS-37e2bb46-1		55.325	99.0	-9.9372095	2.501051_D,-14.030,-8.987,-10.355
ERI-BAS-bd3ef700-1	ERI-BAS-bd3ef700-1		0.0	99.0	2.11989865	2.9529215			0_D,-6.111,-7.977,-9.498
ALP-POS-c59291d4-2	ALP-POS-c59291d4-2		78.12914402	12.56225621	79.65146_D,-11.495,-8.171,-9.610
ALP-POS-c59291d4-3	ALP-POS-c59291d4-3		62.23556033	28.35325344	68.974585_D,-11.938,-8.151,-9.758
ALP-POS-c59291d4-4	ALP-POS-c59291d4-4		70.49219695	18.67687678	57.123394_D,-11.384,-7.487,-8.785
ALP-POS-c59291d4-5	ALP-POS-c59291d4-5		100.0	0.055725765	99.835615	100.0_D,-6.623,-7.229,-8.307
ALP-POS-c0c213c9-1	ALP-POS-c0c213c9-1		94.805	32.18979314			38.77391021_D,-6.318,-9.070,-10.876
ALP-POS-c0c213c9-3	ALP-POS-c0c213c9-3			99.0			99.5					115.148705900000_D,-6.063,-5.336,-8.115
ALP-POS-c0c213c9-4	ALP-POS-c0c213c9-4			99.0			99.5					0.0	False	False_D,-13.042,-8.870,-10.609
ALP-POS-c0c213c9-7	ALP-POS-c0c213c9-7			99.0			99.5					0.0	False	False_D,-5.576,-7.131,-9.485
ALP-POS-c0c213c9-9	ALP-POS-c0c213c9-9			99.0	-1.6279916	1.8938721						6_D,-6.967,-7.604,-9.756
ALP-POS-c0c213c9-11	ALP-POS-c0c213c9-11			99.0			99.5					0.0	False	Fals_D,-12.710,-7.838,-9.678
ALP-POS-c0c213c9-14	ALP-POS-c0c213c9-14			99.0	6.6152355	16.09721						1_D,-6.719,-7.372,-8.918
ALP-POS-c0c213c9-15	ALP-POS-c0c213c9-15			99.0			99.5					0.0	False	Fals_D,-7.592,-8.196,-10.081
ALP-POS-c0c213c9-18	ALP-POS-c0c213c9-18			99.0			99.5					130.470179	Fal_D,-7.845,-6.941,-9.044
ALP-POS-91609ae9-3	ALP-POS-91609ae9-3		88.81755543	2.907617128	72.08417_D,-6.884,-7.525,-8.887
EDJ-MED-6af13d92-1	EDJ-MED-6af13d92-1		89.65190757	2.60150346	91.81651	9_D,-6.856,-7.103,-8.602
EDJ-MED-6af13d92-2	EDJ-MED-6af13d92-2			1.82765031	8.7385185	12.47232_D,-11.502,-7.463,-11.236
EDJ-MED-6af13d92-3	EDJ-MED-6af13d92-3			2.076787743	84.427415	90.90139	2_D,-6.776,-8.327,-11.604
BEN-BAS-baaab58b-1	BEN-BAS-baaab58b-1		76.59780981	27.29762364	6.853397_D,-5.619,-8.339,-9.189
MAT-POS-ee51dedd-1	MAT-POS-ee51dedd-1	64.30363393		12.24622676	53.37036_D,-4.735,-7.617,-8.104
MAT-POS-ee51dedd-2	MAT-POS-ee51dedd-2	96.35623873		0.484414564	78.55136_D,-7.075,-8.504,-8.129
LOR-NEU-c8f11034-1	LOR-NEU-c8f11034-1		67.39352696	43.11368108	-4.886505_D,-5.329,-4.936,-8.373
LOR-NEU-c8f11034-2	LOR-NEU-c8f11034-2		100.0	0.48474466299999996	1.50192_D,-7.179,-7.329,-8.553
LOR-NEU-c8f11034-3	LOR-NEU-c8f11034-3		66.13152011	30.282696	-2.115973	-_D,-5.810,-5.786,-6.424
LOR-NEU-c8f11034-5	LOR-NEU-c8f11034-5		100.0	0.7474393859999999	-3.26631_D,-7.313,-7.019,-8.177
LOR-NEU-c8f11034-7	LOR-NEU-c8f11034-7		95.59446379999999	16.71295212	-3._D,-5.851,-6.976,-7.621
BEN-BAS-f6e16b09-1	BEN-BAS-f6e16b09-1			99.0	-3.1195383999999997	-4.2690_D,-12.891,-8.400,-9.945
ALP-POS-90c18d1d-1	ALP-POS-90c18d1d-1			67.47254572	6.4951574999999995	3_D,-12.095,-8.627,-9.956
BAR-COM-0f94fc3d-41	BAR-COM-0f94fc3d-41		77.42	19.968183	30.592015000000_D,-7.241,-7.621,-8.792
BAR-COM-0f94fc3d-48	BAR-COM-0f94fc3d-48		67.195	38.92728803	32.761255	49_D,-6.874,-7.578,-8.797
MAT-POS-590ac91e-17	MAT-POS-590ac91e-17		-1.7618891859999999	99.0	18.939_D,-5.232,-6.202,-7.138
MAT-POS-590ac91e-41	MAT-POS-590ac91e-41		40.06615708	27.47430611	41.9783_D,-12.026,-7.961,-9.304
MAT-POS-590ac91e-69	MAT-POS-590ac91e-69		52.81023676	99.0	1.394463485	25_D,-10.713,-8.046,-9.292
JAG-UCB-a3ef7265-3	JAG-UCB-a3ef7265-3		58.62226431	18.38796348	46.10042_D,-11.657,-8.164,-9.005
JAG-UCB-a3ef7265-20	JAG-UCB-a3ef7265-20		1.89939146	99.0	46.694559999999_D,-5.925,-7.415,-8.379
JAG-UCB-cedd89ab-1	JAG-UCB-cedd89ab-1			99.0			81.67311651	4.087920872_D,-6.951,-5.916,-7.433
EDJ-MED-49816e9b-1	EDJ-MED-49816e9b-1		88.60642398	26.362125800000005	42_D,-6.599,-7.422,-8.472
EDJ-MED-49816e9b-4	EDJ-MED-49816e9b-4			68.24476541			85.01992398	4.0704_D,-10.523,-7.449,-8.265
BEN-DND-7e92b6ca-10	BEN-DND-7e92b6ca-10		82.35077482	18.75754761	74.4608_D,-6.298,-6.527,-8.148
BEN-DND-7e92b6ca-11	BEN-DND-7e92b6ca-11		51.36030895	95.69599193	61.3826_D,-5.383,-6.276,-7.621
BEN-DND-7e92b6ca-12	BEN-DND-7e92b6ca-12		83.25001656	19.69976836	78.5081_D,-5.783,-7.115,-8.347
BEN-DND-7e92b6ca-14	BEN-DND-7e92b6ca-14		52.2769146	52.68192681	56.96764_D,-11.033,-6.861,-11.424
BEN-DND-93268d01-6	BEN-DND-93268d01-6			99.0			58.45409314	4.23318507300_D,-9.557,-6.563,-7.925
BEN-DND-93268d01-8	BEN-DND-93268d01-8			99.0			0.637897639	6.195249006_D,-5.173,-7.035,-7.758
BEN-DND-93268d01-11	BEN-DND-93268d01-11			99.0			99.5					62.31597544	Fa_D,-4.829,-6.205,-7.041
MAK-UNK-d4768348-1	MAK-UNK-d4768348-1	96.35623873		0.484414564	78.55136_D,-7.149,-8.264,-8.354
EDJ-MED-e58735b6-4	EDJ-MED-e58735b6-4			99.0			53.16526101	4.27437205_D,-6.910,-7.091,-8.476
NAU-LAT-64f4b287-4	NAU-LAT-64f4b287-4		100.0	1.784272495	97.394235	97.51_D,-4.937,-6.559,-7.752
EDJ-MED-e66f2cc5-1	EDJ-MED-e66f2cc5-1			12.89420181			44.72115285	4.3494_D,-6.728,-7.276,-8.220
MAT-POS-2db6411e-2	MAT-POS-2db6411e-2	92.72999128	98.86159652	1.56892614_D,-9.119,-8.668,-9.022
EDG-MED-0da5ad92-2	EDG-MED-0da5ad92-2		52.36828925	99.0	24.074975	40.890_D,-6.810,-7.181,-8.232
EDG-MED-0da5ad92-3	EDG-MED-0da5ad92-3			99.0	17.561765	33.756335	99.5_D,-6.176,-5.985,-7.380
EDG-MED-0da5ad92-5	EDG-MED-0da5ad92-5			47.31874992			99.5					163.68131_D,-11.128,-8.196,-9.105
EDG-MED-0da5ad92-7	EDG-MED-0da5ad92-7			15.68582651			24.78240395	4.6058_D,-5.943,-8.074,-9.290
EDG-MED-0da5ad92-15	EDG-MED-0da5ad92-15			99.0			99.5					168.2174313000_D,-6.452,-7.238,-8.213
EDG-MED-0da5ad92-17	EDG-MED-0da5ad92-17			99.0			99.5					106.1576658	Fa_D,-6.222,-7.532,-8.469
EDG-MED-0da5ad92-21	EDG-MED-0da5ad92-21		52.12921793	99.0	3.6405765	6.92_D,-5.726,-6.717,-7.491
MAK-UNK-ed378e62-6	MAK-UNK-ed378e62-6			99.0			99.5						False	False_D,-4.203,-4.303,-4.973
BEN-DND-61647d40-12	BEN-DND-61647d40-12		55.07	29.42996952			99.5					28_D,-6.935,-7.328,-8.347
JAN-GHE-5a013bed-1	JAN-GHE-5a013bed-1		28.65943315	73.35631406	39.57277_D,-6.113,-7.285,-8.013
JAN-GHE-5a013bed-2	JAN-GHE-5a013bed-2		45.27874969	4.265197993999999	74._D,-7.385,-7.378,-8.523
JAN-GHE-5a013bed-3	JAN-GHE-5a013bed-3		0.0	99.0	70.8607	87.0438	8.645464_D,-6.652,-7.367,-8.562
TRY-UNI-2eddb1ff-2	TRY-UNI-2eddb1ff-2		71.44	99.0	28.841385	46.01123	46._D,-6.418,-7.323,-8.214
TRY-UNI-2eddb1ff-6	TRY-UNI-2eddb1ff-6			8.630624486			11.57014158	4.9366_D,-7.177,-8.840,-10.087
TRY-UNI-2eddb1ff-7	TRY-UNI-2eddb1ff-7		87.19131584	0.940748778	94.4703	9_D,-7.375,-9.928,-12.807
TRY-UNI-2eddb1ff-8	TRY-UNI-2eddb1ff-8			88.09233002			77.13484119	4.1127_D,-7.380,-9.014,-10.182
ALP-POS-95b75b4d-5	ALP-POS-95b75b4d-5			7.397974068			7.173635912000001_D,-6.143,-7.044,-8.266
JAN-GHE-83b26c96-8	JAN-GHE-83b26c96-8		78.31820081	5.479371838	77.852725_D,-6.115,-7.848,-8.786
JAN-GHE-83b26c96-12	JAN-GHE-83b26c96-12		98.33861978	15.94297615	56.1850_D,-6.633,-7.727,-8.506
JAN-GHE-83b26c96-13	JAN-GHE-83b26c96-13		64.32450713	69.09189422	17.4127_D,-6.765,-7.908,-8.635
JAN-GHE-83b26c96-18	JAN-GHE-83b26c96-18		69.55621882	57.84842314	18.1071_D,-6.888,-6.665,-7.871
JAN-GHE-83b26c96-22	JAN-GHE-83b26c96-22		66.91403689	24.52280886	49.3255_D,-6.706,-7.842,-8.807
AAR-POS-5507155c-1	AAR-POS-5507155c-1			83.7760385	-2.5168009999999996	5_D,-4.941,-6.464,-7.198
AAR-POS-0daf6b7e-23	AAR-POS-0daf6b7e-23			99.0								7.0	False	False		x_D,-4.207,-5.097,-5.762
LON-WEI-d1c9908a-11	LON-WEI-d1c9908a-11	2.51	67.75	19.43059242		47.05766_D,-5.380,-7.342,-8.876
LON-WEI-adc59df6-3	LON-WEI-adc59df6-3	57.35674361	100.0	16.97870201	42.0_D,-5.555,-7.939,-8.884
LON-WEI-adc59df6-10	LON-WEI-adc59df6-10	69.97160744	100.0	13.68892672	50_D,-9.477,-8.674,-10.199
LON-WEI-adc59df6-17	LON-WEI-adc59df6-17	55.96686969	63.86398384	65.42702_D,-11.127,-9.749,-10.624
LON-WEI-adc59df6-23	LON-WEI-adc59df6-23	79.30389848	100.0	10.50653617	51_D,-10.344,-6.951,-9.097
LON-WEI-adc59df6-30	LON-WEI-adc59df6-30	52.56432679999999	100.0	19.39107_D,-6.050,-8.184,-9.574
LON-WEI-adc59df6-40	LON-WEI-adc59df6-40	69.13183976	100.0	14.31483786	42_D,-5.301,-6.524,-8.564
LON-WEI-adc59df6-43	LON-WEI-adc59df6-43		100.0	62.05596255	41.0576299999_D,-6.325,-7.716,-9.617
LON-WEI-adc59df6-47	LON-WEI-adc59df6-47	91.82216412	100.0	3.358824326	63_D,-10.638,-7.942,-9.705
LON-WEI-adc59df6-78	LON-WEI-adc59df6-78			99.0	1.4775287	3.2985055_D,-5.577,-8.421,-9.845
MAR-UNI-c84db004-16	MAR-UNI-c84db004-16		81.05857357	58.15559561_D,-12.583,-9.019,-10.317
MAR-UNI-c84db004-17	MAR-UNI-c84db004-17		100.0	8.413729071									False_D,-12.567,-7.695,-9.761
JOH-UNI-44664832-2	JOH-UNI-44664832-2		100.0	1.24061381									False	Fa_D,-4.312,-5.560,-9.257
JOH-UNI-44664832-3	JOH-UNI-44664832-3		83.144341	99.0									False	Fals_D,-5.337,-6.611,-7.890
JOH-UNI-c7afdb96-2	JOH-UNI-c7afdb96-2		100.0	0.23360319		22.17159_D,-8.124,-6.730,-8.234
JUA-UNI-a9dfaed1-1	JUA-UNI-a9dfaed1-1			99.0			99.5						True	False_D,-9.885,-7.313,-8.850
JUA-UNI-a9dfaed1-2	JUA-UNI-a9dfaed1-2			99.0			99.5						True	False_D,-7.109,-6.714,-7.441
JUA-UNI-a9dfaed1-3	JUA-UNI-a9dfaed1-3			99.0			99.5						True	False_D,-6.541,-6.379,-6.556
JUA-UNI-a9dfaed1-4	JUA-UNI-a9dfaed1-4			99.0			99.5						True	False_D,-10.357,-9.291,-10.029
JUA-UNI-a9dfaed1-5	JUA-UNI-a9dfaed1-5			99.0			99.5						True	False_D,-5.805,-7.543,-9.099
JUA-UNI-a9dfaed1-6	JUA-UNI-a9dfaed1-6			99.0			99.5						True	False	Ugi_D,-4.389,-6.239,-7.239
JUA-UNI-a9dfaed1-7	JUA-UNI-a9dfaed1-7			99.0			99.5						True	False_D,-12.290,-8.114,-10.195
LON-WEI-8f408cad-1	LON-WEI-8f408cad-1			99.0	27.11235	51.42713	70.328583_D,-6.095,-6.209,-7.509
LON-WEI-8f408cad-2	LON-WEI-8f408cad-2	98.6225	99.205	2.62321369	98.65946_D,-7.054,-7.434,-8.043
LON-WEI-8f408cad-3	LON-WEI-8f408cad-3	97.8875	97.79	0.5565438429999999	9_D,-7.235,-7.620,-7.584
LON-WEI-8f408cad-4	LON-WEI-8f408cad-4	96.62	96.84	2.02356071	97.289005	1_D,-7.343,-6.867,-7.523
LON-WEI-8f408cad-5	LON-WEI-8f408cad-5			3.31638346	94.48812	98.998055000_D,-6.962,-6.962,-7.059
LON-WEI-8f408cad-7	LON-WEI-8f408cad-7			1.137302208	98.779325	99.437475_D,-6.787,-7.262,-7.300
MED-COV-4280ac29-5	MED-COV-4280ac29-5		88.97527693	15.19811649	20.639545_D,-10.441,-8.454,-9.420
MED-COV-4280ac29-13	MED-COV-4280ac29-13	94.56079831	100.0	2.077428429000_D,-4.486,-8.064,-8.332
MED-COV-4280ac29-15	MED-COV-4280ac29-15	99.8384869	100.4236773	0.5454483_D,-4.832,-8.198,-8.424
MED-COV-4280ac29-25	MED-COV-4280ac29-25		97.56642156	34.57067244	41.4681_D,-10.966,-8.433,-9.402
MED-COV-4280ac29-30	MED-COV-4280ac29-30		100.0	0.421041412	100.032869999_D,-5.017,-6.116,-7.596
MED-COV-4280ac29-31	MED-COV-4280ac29-31	100.02107070000001	100.4236773	0_D,-6.108,-7.861,-8.747
MED-COV-4280ac29-33	MED-COV-4280ac29-33		117.87086399999998	1.308406736_D,-4.727,-8.702,-9.177
MED-COV-4280ac29-37	MED-COV-4280ac29-37		100.0	2.4174635419999997	96.083_D,-4.547,-8.397,-8.892
LON-WEI-b8d98729-17	LON-WEI-b8d98729-17	4.444303831		99.0	36.56934000000_D,-6.020,-8.932,-10.494
LON-WEI-b8d98729-27	LON-WEI-b8d98729-27	59.98080035		26.94728406	40.3276_D,-11.741,-6.769,-10.053
LON-WEI-b8d98729-38	LON-WEI-b8d98729-38	16.63309269		32.03061412	33.8765_D,-13.420,-9.853,-11.099
MAT-POS-916a2c5a-1	MAT-POS-916a2c5a-1	95.6975	91.09	0.968770334	99.36241_D,-9.291,-8.677,-9.178
MAT-POS-916a2c5a-2	MAT-POS-916a2c5a-2	70.0575	83.785	3.4615950239999997_D,-7.263,-7.825,-9.435
MAT-POS-916a2c5a-3	MAT-POS-916a2c5a-3	81.6625	88.135	3.750653259	84.3667_D,-9.446,-7.567,-8.939
MAT-POS-916a2c5a-4	MAT-POS-916a2c5a-4	66.63	78.785	10.4027223		54.071719_D,-6.655,-7.277,-8.542
JUA-UNI-bc099708-1	JUA-UNI-bc099708-1			99.0			99.5						True	False_D,-10.480,-9.042,-10.212
JUA-UNI-bc099708-2	JUA-UNI-bc099708-2			99.0			99.5						True	False_D,-5.450,-6.501,-8.203
JUA-UNI-bc099708-3	JUA-UNI-bc099708-3			99.0			99.5						True	False_D,-8.685,-8.209,-8.916
JUA-UNI-bc099708-4	JUA-UNI-bc099708-4			99.0			99.5						True	False_D,-10.156,-8.039,-9.959
JUA-UNI-bc099708-5	JUA-UNI-bc099708-5	0.0		99.0	0.683865	9.484211	99.5_D,-14.046,-8.334,-10.861
NEH-REV-107bcf72-5	NEH-REV-107bcf72-5	63.91800416	89.85380584	9.28315023_D,-9.003,-7.512,-8.387
MIH-UNI-e573136b-5	MIH-UNI-e573136b-5		100.0	0.833731397	101.27855	102.5_D,-10.178,-10.453,-10.417
WAR-XCH-79d12f6e-4	WAR-XCH-79d12f6e-4	54.86969272		18.47845727	25.132839_D,-8.255,-8.032,-8.606
WAR-XCH-79d12f6e-6	WAR-XCH-79d12f6e-6	90.84785203	96.28668182	1.62336890_D,-8.050,-7.663,-8.045
WAR-XCH-b0339bbe-3	WAR-XCH-b0339bbe-3		100.0	29.71763206	5.177157	18.136_D,-5.343,-8.039,-8.800
WAR-XCH-b0339bbe-19	WAR-XCH-b0339bbe-19		100.0	14.85302147	56.80079	71.4_D,-6.172,-7.819,-9.166
SIM-SYN-f15aaa3a-1	SIM-SYN-f15aaa3a-1	100.4236773	100.4236773	0.38583673_D,-5.258,-7.541,-8.314
STU-CHA-83dacf15-1	STU-CHA-83dacf15-1		91.0727806	31.23968691	30.7670900_D,-10.947,-11.003,-11.047
STU-CHA-7b3b91d5-1	STU-CHA-7b3b91d5-1		100.0	20.13276208	56.663284999999_D,-6.116,-10.509,-11.243
STU-CHA-6cae54d3-1	STU-CHA-6cae54d3-1		93.25799793	5.551705886000001	77._D,-5.569,-9.974,-10.477
PAU-UNI-8cdd41c7-1	PAU-UNI-8cdd41c7-1	100.0	100.0	0.47546758200000006	76_D,-5.313,-9.040,-9.256
TAM-UNI-d1c3dd9f-5	TAM-UNI-d1c3dd9f-5		71.79979049	38.39922196	29.930320_D,-9.204,-9.494,-9.903
TAM-UNI-d1c3dd9f-12	TAM-UNI-d1c3dd9f-12		95.62858501	50.31752087	11.7107_D,-5.965,-9.287,-9.946
TAM-UNI-d1c3dd9f-18	TAM-UNI-d1c3dd9f-18	59.2476534		17.49241139	20.5609_D,-4.841,-8.537,-9.112
MAK-UNK-af83ef51-2	MAK-UNK-af83ef51-2	62.55193274	91.09129704	13.5830274_D,-4.430,-7.241,-7.830
MAK-UNK-af83ef51-6	MAK-UNK-af83ef51-6		87.14035792	4.493786731	62.94115_D,-5.029,-7.703,-8.218
GIA-UNK-20b63697-2	GIA-UNK-20b63697-2		84.75920306	1.688000004	80.84184_D,-4.991,-8.019,-8.778
GIA-UNK-20b63697-6	GIA-UNK-20b63697-6		95.61403605	0.6435632	95.837655	9_D,-4.388,-7.850,-8.479
DAR-DIA-fb20be43-4	DAR-DIA-fb20be43-4		99.72594311	1.6399940169999998	99_D,-5.470,-8.668,-9.294
DAR-DIA-fb20be43-6	DAR-DIA-fb20be43-6	97.58360114		1.162374391	83.637	93_D,-6.232,-8.987,-9.912
DAR-DIA-fb20be43-7	DAR-DIA-fb20be43-7		100.0	1.620733025	82.83451	90.859_D,-5.613,-7.999,-8.891
WAR-XCH-b6889685-26	WAR-XCH-b6889685-26	3.795	50.235	39.21840675		8.0840_D,-9.474,-8.205,-9.316
WAR-XCH-b72a1bbc-11	WAR-XCH-b72a1bbc-11		100.0	15.75805815	-1.252803	0.1_D,-8.092,-7.982,-8.620
WAR-XCH-b72a1bbc-18	WAR-XCH-b72a1bbc-18	35.01	52.225	99.0		-15.950070000_D,-8.223,-6.595,-7.711
ALV-UNI-7ff1a6f9-14	ALV-UNI-7ff1a6f9-14		50.77509789	99.0	0.800944	0.942_D,-11.984,-6.618,-8.567
DAV-CRI-14a23e73-1	DAV-CRI-14a23e73-1		79.015	0.52561776	98.382425	94.62_D,-10.600,-9.282,-10.110
DAV-CRI-3edb475e-6	DAV-CRI-3edb475e-6		100.0	20.95325278	40.56069	74.487_D,-7.257,-6.003,-7.019
MAK-UNK-6435e6c2-9	MAK-UNK-6435e6c2-9			99.0								0.0	False	False		x04_D,-7.702,-5.739,-6.500
GIA-UNK-a79af1bc-1	GIA-UNK-a79af1bc-1		100.0	19.4738865	46.1189450000000_D,-4.198,-6.990,-7.505
NIR-THE-0d6461ce-8	NIR-THE-0d6461ce-8		100.0	1.235543502	95.149355	98.32_D,-4.876,-8.568,-8.927
NIR-THE-c331be7a-1	NIR-THE-c331be7a-1		100.0	11.41463697	47.99223	53.428_D,-5.109,-6.969,-8.054
NIR-THE-c331be7a-2	NIR-THE-c331be7a-2		97.83	1.441020154	98.75318	95.349_D,-4.799,-7.053,-8.263
NIR-THE-c331be7a-6	NIR-THE-c331be7a-6		53.76803843	0.419790602	98.062469_D,-5.110,-6.269,-7.511
DAN-LON-a5fc619e-3	DAN-LON-a5fc619e-3		100.0	0.514714766	99.249175	99.47_D,-4.579,-8.500,-8.989
DAN-LON-a5fc619e-8	DAN-LON-a5fc619e-8	100.0	100.0	0.655456165	82.2179	72_D,-5.124,-8.088,-8.467
DAN-LON-a5fc619e-10	DAN-LON-a5fc619e-10		66.60732754	18.85071501	22.4529_D,-5.854,-8.501,-9.570
JOH-MSK-a63bdd1d-4	JOH-MSK-a63bdd1d-4			99.0			99.5						False	False_D,-9.405,-6.700,-7.460
DUN-NEW-f8ce3686-22	DUN-NEW-f8ce3686-22	87.54491409	95.91916798	3.308583_D,-7.765,-6.002,-6.730
DUN-NEW-f8ce3686-23	DUN-NEW-f8ce3686-23		80.32733989	8.547621255	58.0440_D,-11.531,-8.427,-9.515
DUN-NEW-f8ce3686-24	DUN-NEW-f8ce3686-24		100.0	11.50677998	62.8078150000_D,-6.788,-9.718,-10.573
DUN-NEW-f8ce3686-25	DUN-NEW-f8ce3686-25		73.33	99.0	23.86605	26.0974			0_D,-8.610,-7.661,-8.528
AGN-NEW-891393a6-1	AGN-NEW-891393a6-1		100.0	1.513489553	74.31908	87.533_D,-6.036,-7.762,-8.645
JOR-UNI-2fc98d0b-6	JOR-UNI-2fc98d0b-6		59.35943886	99.0	24.350455	49.617_D,-6.080,-8.323,-9.316
JOR-UNI-2fc98d0b-12	JOR-UNI-2fc98d0b-12		78.94465384	3.30035664	83.33063_D,-6.219,-8.083,-9.018
TRY-UNI-714a760b-3	TRY-UNI-714a760b-3			8.20169806			4.222339764	5.37444_D,-6.570,-7.661,-8.702
TRY-UNI-714a760b-6	TRY-UNI-714a760b-6	20.025239300000003		13.89516492	61_D,-6.423,-7.186,-8.076
TRY-UNI-714a760b-12	TRY-UNI-714a760b-12	25.5825	64.135	45.68926279	32.14_D,-6.628,-5.939,-7.415
TRY-UNI-714a760b-18	TRY-UNI-714a760b-18	20.37830295		12.96769311	58.0202_D,-5.991,-6.797,-7.905
TRY-UNI-714a760b-19	TRY-UNI-714a760b-19			32.22106387			16.06556006	4.79_D,-6.422,-7.024,-8.460
TRY-UNI-714a760b-20	TRY-UNI-714a760b-20	20.495	52.68	43.84705099	33.5616_D,-6.518,-6.790,-8.061
TRY-UNI-714a760b-22	TRY-UNI-714a760b-22	21.0225	58.415	45.31192342	35.40_D,-6.200,-6.699,-8.014
TRY-UNI-714a760b-24	TRY-UNI-714a760b-24	23.7925	55.705	49.32921305	19.37_D,-6.151,-6.670,-8.025
DAR-DIA-23aa0b97-19	DAR-DIA-23aa0b97-19	68.21	85.16	14.64109075	48.73152_D,-7.514,-6.978,-8.693
DAR-DIA-23aa0b97-20	DAR-DIA-23aa0b97-20	27.82	62.475	45.07746921	31.6433_D,-7.011,-6.622,-8.085
